,W,L,W/L%,GB,PS/G,PA/G,SRS,year,Team
0,60,22,0.732,—,104.5,99.0,5.4,1996,Orlando Magic
1,47,35,0.573,13.0,97.2,94.9,2.24,1996,New York Knicks
2,42,40,0.512,18.0,96.5,95.0,1.46,1996,Miami Heat
3,39,43,0.476,21.0,102.5,101.5,0.99,1996,Washington Bullets
4,33,49,0.402,27.0,103.6,107.0,-3.37,1996,Boston Celtics
5,30,52,0.366,30.0,93.7,97.9,-4.14,1996,New Jersey Nets
6,18,64,0.22,42.0,94.5,104.5,-9.45,1996,Philadelphia 76ers
7,72,10,0.878,—,105.2,92.9,11.8,1996,Chicago Bulls
8,52,30,0.634,20.0,99.3,96.1,3.11,1996,Indiana Pacers
9,47,35,0.573,25.0,91.1,88.5,2.49,1996,Cleveland Cavaliers
10,46,36,0.561,26.0,98.3,97.1,1.29,1996,Atlanta Hawks
11,46,36,0.561,26.0,95.4,92.9,2.45,1996,Detroit Pistons
12,41,41,0.5,31.0,102.8,103.4,-0.48,1996,Charlotte Hornets
13,25,57,0.305,47.0,95.6,100.9,-4.92,1996,Milwaukee Bucks
14,21,61,0.256,51.0,97.5,105.0,-7.2,1996,Toronto Raptors
15,59,23,0.72,—,103.4,97.1,5.98,1996,San Antonio Spurs
16,55,27,0.671,4.0,102.5,95.9,6.25,1996,Utah Jazz
17,48,34,0.585,11.0,102.5,100.7,1.63,1996,Houston Rockets
18,35,47,0.427,24.0,97.7,100.4,-2.62,1996,Denver Nuggets
19,26,56,0.317,33.0,97.9,103.2,-5.14,1996,Minnesota Timberwolves
20,26,56,0.317,33.0,102.5,107.5,-4.71,1996,Dallas Mavericks
21,15,67,0.183,44.0,89.8,99.8,-9.55,1996,Vancouver Grizzlies
22,64,18,0.78,—,104.5,96.7,7.4,1996,Seattle SuperSonics
23,53,29,0.646,11.0,102.9,98.5,4.21,1996,Los Angeles Lakers
24,44,38,0.537,20.0,99.3,97.0,2.21,1996,Portland Trail Blazers
25,41,41,0.5,23.0,104.3,104.0,0.28,1996,Phoenix Suns
26,39,43,0.476,25.0,99.5,102.3,-2.62,1996,Sacramento Kings
27,36,46,0.439,28.0,101.6,103.1,-1.42,1996,Golden State Warriors
28,29,53,0.354,35.0,99.4,103.0,-3.46,1996,Los Angeles Clippers
29,61,21,0.744,—,94.8,89.3,5.56,1997,Miami Heat
30,57,25,0.695,4.0,95.4,92.2,3.31,1997,New York Knicks
31,45,37,0.549,16.0,94.1,94.5,-0.07,1997,Orlando Magic
32,44,38,0.537,17.0,99.4,97.7,1.77,1997,Washington Bullets
33,26,56,0.317,35.0,97.2,101.8,-3.89,1997,New Jersey Nets
34,22,60,0.268,39.0,100.2,106.7,-5.89,1997,Philadelphia 76ers
35,15,67,0.183,46.0,100.6,107.9,-6.62,1997,Boston Celtics
36,69,13,0.841,—,103.1,92.3,10.7,1997,Chicago Bulls
37,56,26,0.683,13.0,94.8,89.4,5.52,1997,Atlanta Hawks
38,54,28,0.659,15.0,94.2,88.9,5.45,1997,Detroit Pistons
39,54,28,0.659,15.0,98.9,97.0,2.13,1997,Charlotte Hornets
40,42,40,0.512,27.0,87.5,85.6,2.32,1997,Cleveland Cavaliers
41,39,43,0.476,30.0,95.4,94.4,1.49,1997,Indiana Pacers
42,33,49,0.402,36.0,95.3,97.2,-1.38,1997,Milwaukee Bucks
43,30,52,0.366,39.0,95.5,98.6,-2.56,1997,Toronto Raptors
44,64,18,0.78,—,103.1,94.3,7.97,1997,Utah Jazz
45,57,25,0.695,7.0,100.6,96.1,3.85,1997,Houston Rockets
46,40,42,0.488,24.0,96.1,97.6,-1.82,1997,Minnesota Timberwolves
47,24,58,0.293,40.0,90.6,97.0,-6.47,1997,Dallas Mavericks
48,21,61,0.256,43.0,97.8,104.1,-6.4,1997,Denver Nuggets
